user,location,text
Avendano_cr,"Heredia, Costa Rica","Esto es como cuando la persona que uno admira le tuitea.

@puddingviz tuiteó nuestro especial de datos sobre el… https://t.co/9tOSrKylit"
essencialis,"Barcelona, España","Los cambios vienen acompañados de miedo, miedo a lo desconocido, a tomar decisiones sin respuestas programadas, val… https://t.co/iWtByaZv1X"
HoyEstado,México,"Turistas que no respetaron contingencia por #COVID19 nadan junto a tiburón en playa de #Cancún 🦈 

https://t.co/8OhuFtsX6h"
Proiuris_Ve,"Caracas, Venezuela","#15Abr | @MovistarVe amplía ancho de banda de su red WiFi Social en 36 hospitales, 17 de ellos centinelas, durante… https://t.co/4ADTkDhk5E"
GonzaloMorenoW,"Río de Janeiro, Brasil","Un trabajador de #Moncloa muere por #COVID19 
Y en las noticias na y menos.
Nos vamos a la mierda, sin libertad de… https://t.co/grUwHzFcwR"
tems2019,,Madera como conductor? https://t.co/gHde1QVxnF #madera #Curiosidades #QuedateEnCasa #universitarios #NotreDame… https://t.co/jda6nHQHo5
IP_EdnaCastillo,"Fiel a lo Relevante CDMX, HGO ",Será obligatorio usar cubrebocas en el Metro a partir del viernes. #COVID19  #CDMX https://t.co/zLMMQe1j2q vía @El_Universal_Mx
fosdeh,Tegucigalpa,"🚨 Panorama económico para #Honduras 🚨

Lic. Ismael Zepeda, vocero del #FOSDEH: A un mes de la emergencia por el… https://t.co/KwnsR3JZtK"
alechaveztecdmx,Ciudad de México,"La revista @Forbes publicó un texto en el que analiza por qué los países liderados por mujeres, han gestionado mejo… https://t.co/5y8SlGzCVc"
Betianapohl,,"Vergonzoso @SSSALUD 
Deben garantizar los tratamientos, sobretodo a chicos con discapacidad, son sus derechos.… https://t.co/OboVVZ5udi"
cesarmoz,Chile 🇨🇱,"Una panadería que se llame 
""Pan demia"".
Eso, ya chao 
#COVID19"
BleNCitaMu,,Que triste saber que Ecuador no cuenta con fondos de emergencia ante esta situación. #COVID19
Mike_Danger,Paradise City,"El mejor cubre bocas no exis.... 😷

#QuedateEnCasa #COVID19 #CuarentenaPositiva https://t.co/P8HPwOIzRc"
Recon_Col,Colombia,"#DiaMundialDelArte  🎨

#ColombiaSoluciona exalta al colectivo ""La Cuadra Bacana"" quiénes trabajan por el desarrollo… https://t.co/y4bTJstq3w"
RebelarteRadio,"Barquisimeto, Estado Lara.","#España| La directora de Salud Pública de la #OMS, María Neira, advirtió que #España aún no está en condiciones par… https://t.co/eA2H5gYFS4"
KeywordCA,Centroamérica ,"FMI proyecta fuerte impacto en la economía  a causa del COVID-19. 
#COVID19 #Crecimientoeconómico #KeyEconomics… https://t.co/4XgBj303ie"
DiarioTiempo,Honduras,https://t.co/OSYjzGxlVr - FETCCOP y ATIC investigan compras de emergencia que realizó COPECO. #EsTiempo… https://t.co/uHliwpz2y1
AvstClothing,,"Ya están nuestros descargables! No te los pieeeeeerdas!😈
#COVID19 #aprobadogeneral #TeamASide #BailoutHumans… https://t.co/LUFZOO3iQt"
PueNoticias,"Puebla, México","👩‍💻📲 La importancia de supervisar tiempo de adolescentes en redes sociales, principalmente durante la cuarentena po… https://t.co/LxV0Mjh1hp"
HumbertoSurezG2,,#VenezuelaBellaYEnRevolución @ConElMazoDando #Rusia El presidente de la Federación Rusa tomando medidas para que su… https://t.co/k3yYZIlBSm
Elatabal1979,Nicaragua,#YoInvito #COVID19 en Nicarágua @VictoriaALC @ESanchezcub @zurdotuitero https://t.co/FY5wQfuTAI
mbergliaffa,,#Historia #MarDelPlata #LobosMarinos #animales #CiudadesVacias #cuarentena #COVID19 #animales avanzan en las… https://t.co/WLrc4k5ElR
CesarAlomoto,Ecuador,"Mientras tanto, después de todos los despidos de #WWE
#COVID19 #AEW #Despidos #luchalibre #wrestling https://t.co/CEi8U2QdGm"
BlogDelRegio,México,"Aquí la gráfica comparativa de casos diarios y acumulados de coronavirus en Nuevo León. 🦠😷

#NuevoLeón #Coronavirus… https://t.co/iAnLVxc3ZO"
ABCCardinal,Paraguay,"#CoronavirusPy ""El efecto dominó del #COVID19 no se podía esperar, esto es a nivel mundial, el sector turismo, desd… https://t.co/o8JzSX8azi"
juniorr2015,"Barinas, Venezuela",Ecuador se acerca a los 8.000 contagiados y 388 muertos oficiales #SiMuerenLosMedicos #MiercolesDeGanarSeguidores… https://t.co/guwslToirM
careonsafety,España,Noticias de actualidad destacadas sobre la #pandemia del #coronavirus #Covid19. El ex presidente #FelipeGonzález: «… https://t.co/UbVvKPbU7Y
AravenaNieves,"Santiago, Chile","Vean este interesante informe, con gráficos y datos de evolución del #COVID19 en Chile. https://t.co/4QmGq13Ndh"
regionaldelsur,México,Invitan a denunciar a quienes agredan a personal médico https://t.co/oqvKZr2olm #COVID19 https://t.co/7MIBrWwgPx
Erick_Carreros,"San Salvador, El Salvador","En New Yersey ya están haciendo pruebas de #COVID19 por medio del salibado.

Sin hacer el izopado común. Esto es mu… https://t.co/XNH7sWrKjE"
Karmelasoy,,"Muy certero hoy Guitarte en el Congreso:""Calma, dijo el médico. En una epidemia no hay culpables. Todos son víctima… https://t.co/kvsRHKRfWa"
EdnaJaramillotv,Panamá,"""Se puede aprovechar el intervalo en la hora de 3 a 4 pm para salir, hacer ejercicios, caminar y evitar comer mucho… https://t.co/mIh3iSKWte"
Daniel_RiosVE,Venezuela / USA,#15Abr Hoy se cumple un año del voraz incendio de la Catedral de Notre Dame en París-Francia. Este símbolo arquitec… https://t.co/apa1XXJ4y5
c_campozano,,Día 14 del #COVID19 recién puedo decir que me siento mejor.  he quedado súper débil y sensible a todo #Malditocovid me has enseñado tanto
Salud_CZ9,Ecuador,"#Quito || EL personal del centro de salud Carapungo 2, imparten charlas preventivas educativas frente al #COVID19 a… https://t.co/rJ4NfRhTDf"
pablonegri,Planet Earth,"Expresión facial propia (no tocarse el rostro, ""caduca"") al constatar insistencia de sectarios con fracasados dogma… https://t.co/BQ7wtm2j6j"
MaikaSpain,Altetico Madrid,#PSOE #COVID19  LO DICES POR TI Y TU GRUPI?... https://t.co/c8b62G3VVj
jorgeecamperos,Caracas,4 casos que muy seguro no aparecerán en las estadísticas que dan los hermanos Rodriguez. Así como no aparecieron lo… https://t.co/VInJqWxaOe
corphumanas,Chile,🚨Hoy @Camara_cl discute  #PostnatalDeEmergencia para extender el permiso postnatal durante el periodo de estado de… https://t.co/fp0jSFDuGc
juancanavarro,Panamá,Diputada Yanibel Abrego cuestiona legalidad de lo actuado y exige rendición de cuentas sobre los gastos por… https://t.co/v8d3esUVdI
lacometcr,"San Pedro, Montes de Oca. CR.","El día de hoy, entregamos 70 mascarillas para el personal de salud, en aporte solidario del LACOMET para enfrentar… https://t.co/3glC8bOdlb"
sosciudadanos,,El Gobierno confisca el material sanitario que iba dirigido a proteger a los farmacéuticos: Ha habido incautaciones… https://t.co/7gQBxUVUUy
egonzalez314,"Santiago de Compostela, España","Guindos coincide con Iglesias: ""Es necesario una renta mínima, de emergencia y claramente temporal""

#rentabasica… https://t.co/QbdN51TdKm"
FelipeSanchezfs,Bogotá - Colombia ,"El mundo está en crisis por #COVID19 y #CrisisClimática 

Pero ustedes no están preparados para esta discusión."
iideuabc,"Ensenada, Baja California","#OrgulloCimarrón 
La fabricación de barreras faciales protectoras para el personal del área de salud es uno de los… https://t.co/7PDMGrccji"
Noticiasalsur1,"Neiva, Colombia","#ATENCIÓN 24 de los infectados con #COVID19  en Neiva ya se han recuperado, tres han fallecido y se está esperando… https://t.co/IMwnDIuhZn"
Superantipatico,"Cogna, France",Es increíble lo que acabo de leer en mi portal. Me alude directamente. #acoso #autonomos #COVID19 https://t.co/pHl0owA5Gz
CismaaTz,,"Mitos del nuevo coronavirus COVID-19
Recuerda mantenerte informado 
#Coronavirus #COVID19
#cismaatzompantepec https://t.co/1D1j3qD4ew"
Informa_EC,Ecuador,"#Perú 🇵🇪
#COVID19 
◾️ 11.475 casos confirmados
🚻 Masculino 62,3% - Femenino 37,7%
◾️ 3.108 personas dadas de alta… https://t.co/Fkkrwo0w7t"
EnCambioQRoo,"Quintana Roo, México","En #QuintanaRoo hasta las 12 horas del 15 de abril, se han notificado 459 casos negativos, 173 en estudio, 269 posi… https://t.co/Dzm5gwT7mW"
CCHABOGADOS,,"#CCHInforma “#COVID19 como accidente de trabajo según el #IESS”. #CCHABOGADOS #15Abril 
Ante cualquier duda legal,… https://t.co/bMpZSrMN4z"
Salud_CZ9,Ecuador,#Quito|| El centro de salud Guayllabamba Distrito 17D02 en trabajo interinstitucional comunicando a sus habitantes… https://t.co/vjNXMWW73k
AsiVzlanOficial,,🛑ASV NOTICIAS🛑YOUTUBER VENEZOLANO DAVID SHOW CON #COVID19 PODRÍA IR A LA CARCEL EN MÉXICO POR NO RESPETAR CUARENTEN… https://t.co/JCUqKDvc6T
ppalcorcon,"Alcorcón, Comunidad de Madrid",Mañana @davidperez  en @GloboFM993  #COVID19 @ComunidadMadrid https://t.co/oMzpI5FIv5
Ovaciondigital,Montevideo,"#COVID19  | El drama de Walter Montillo: perdió a su padre y a su abuelo, y ahora la madre tiene coronavirus https://t.co/6r9St09HkN"
UNICEFParaguay,"Asunción, Paraguay",Además de lavarnos las manos como medida de prevención del #COVID19 no olvides que es importante desinfectar superf… https://t.co/jMOarRY5DH
Rodrigo31415,Berlin,@PiensaPrensa Religión 0 versos #COVID19 1
EducacionZ6_Ec,Ecuador,MAÑANA| Sigue la agenda de medios del Coordinador de Educación Zonal 6 @ccobosguillen informará sobre los avances d… https://t.co/vXS9uCNzKB
sofish81,"Sabadell, Cataluña","de plaza publica en residencia hace 5 años, ahora ""encerrado"" en residencia privada con más de 16 positivos en… https://t.co/ZNuSfOb64a"
cubaonline85,,La via que encontramos porque el #BloqueoEEUU  impide la compra de ventiladores pulmonares a #Cuba para garantizar… https://t.co/jgjYycBoRx
ImagenTVMex,,¿Qué hay que saber en materia laboral sobre la contingencia por #COVID19? Esto es lo que opina el doctor Alfredo Sá… https://t.co/1kBeXV9G1W
r_guzman74,,"Alarma en hospital Alemán: extraoficialmente 5 muertos por neumonía ""atípica"" y hay más ingresos por coronavirus.… https://t.co/ZWPJzCf5F5"
LSanidadPublica,"León, España","El estremecedor testimonio de un leonés que cuenta cómo sobrevivió al #COVID19.
Enfermó el 13 de marzo y no le aten… https://t.co/4Bzc49izos"
Hpubulla,,Mail publicitario o publicidad engañosa 😂 #Mascarilla19 #mascarilla #COVID19 https://t.co/Y2YnlzHf6E
indesla,"Biar, España","Estamos encantados de poder explicar y llevar a cabo estos desarrollos para afrontar el #COVID19. 👏👏 @SpBerner, Pla… https://t.co/TDcDRiTVnJ"
Reporte_Indigo,CDMX / Guadalajara / Monterrey,En medio de la pandemia de #COVID19 Apple lanzó el nuevo iPhone SE. Conoce todo sobre el smartphone 'económico' que… https://t.co/PbNXJl1EBQ
_LuzMarina,,"Si se hiciesen tests masivos del #COVID19 ...el camino sería más seguro, en todos los sentidos !"
GMALFARO,Santa Fe,"El @GobSantaFe mediante un convenio, hará uso de las instalaciones del Sanatorio Sagrada Familia, por el tiempo que… https://t.co/fgub1Z5YdD"
RandyAlonsoFalc,,"Según Trump la culpa de las 26 mil muertes en EEUU la tiene la OMS, no su mala gestión, ni la inequidad, ni un sist… https://t.co/C3FoHlkV32"
RomeritoBar,,@LagartoRojo1974 Si en estos días llego a ver un vídeo de Carmen Lomana decir que ella se siente más próxima a los… https://t.co/WcxzQIDeRf
BarzonNacional,México,Hoy más que nunca es necesario apoyar el plan de recuperación económica que ha anunciado el gobierno mexicano ante… https://t.co/0XLKfDaQXQ
bidebieta,Basauri,"👉La basauritarra Rosa Renedo, que colabora con Bizitu Elkartea, conoce de primera mano las “gravísimas” circunstanc… https://t.co/CSeoJl4U0q"
noenviolinksxdm,,Para esto votas? De q ha servido? Para que una banda de inútiles cobre un sueldo por no hacer nada mientras miles d… https://t.co/1kC4UUWcxS
elcomerciocom,Ecuador,#ATENCIÓN | Los datos de las personas contagiadas con #covid19 y cómo se han desplazado en #Quito. ¿Qué nueva tarea… https://t.co/14WWnuFBKj
AgenciaSien,"Ciudad del Carmen, Campeche.","Llegan a la isla 21 petroleros sospechosos de #COVID19 #DeCarmen

Entre la noche de este martes y mañana de miércol… https://t.co/z7t64HHqcM"
MaikaSpain,Altetico Madrid,"#PSOE #COVID19  No puedo enTender q este siga en twitter, otros x muchism menos han desaparecido x cierto veo con G… https://t.co/Se50Y5XBCY"
PacoBenicalap,"Valencia, España","Grande @Alvisepf con una vision acertadisima sobre el confinamiento por el #COVID19 👌👏👏.
#GobiernoSanchezDimision https://t.co/brrmMB1tsS"
godoyhoyos,,Conozca la modificación de la Resolución 471 y otras medidas respecto de los trámites que se adelantan ante la… https://t.co/VjzjjIaq20
lmontoya,Santander,Episodio 8 de Diario de una Pandemia #COVID19 #podcast  https://t.co/cKXVhKlMFJ
SAI_org,"Córdoba, Argentina",En un ratito empezamos!! #COVID19 @SADI_ORG https://t.co/m35BjFlSgJ
AleLe_v,En Algún Lugar,Yo no puedo creer que en las Clínicas y Hospitales no hayan pabellones aislados para enfermos y que no corran riesg… https://t.co/Nn6JPRBQY4
TwitPregunta,Dominican Republic,"ESTA DE ACUERDO CON UN TOQUE DE QUEDA 24 #HORAS POR 7 DIAS EN #RepublicaDominicana por el #COVID19 ,"
ZARYLUA,"Vigo,Barcelona,España ","Mismamente...👇😁
#COVID19 #Deportes #StayHome https://t.co/ZHoN4LnkeY"
andresonzaga,,Solicitamos a Alcaldesa @ClaudiaLopez y @LuisErnestoGL que éstas familias conformadas por varios adultos mayores y… https://t.co/FpKE3DHEN0
AnibalGarzon,Barcelona,"Irak lleva 17 años padeciendo una epidemia como #COVID19 donde mueren iraquies cada día, el virus del imperialismo… https://t.co/wHTQxj70kw"
josebrachoPPT,VENEZUELA,#VenezuelaBellaEnRevolución Patria Para Todos(P.P.T) saluda y felicita al Presidente @NicolasMaduro  y a la ing.… https://t.co/Noo9Sr07oO
ExpresionSon,Sonora,"Sanitiza @AytodeSlrc a Hospital General de #SLRC. 

Anuncia Alcalde @SantosGonzalezY labores similares en otros hos… https://t.co/XAyQX2Ryw3"
julioacosta1701,Habana. Cuba ,"El mundo necesita democratizar el Consejo Seguridad #ONU. #Trump retira fondos #OMS, deja morir miles hombres por… https://t.co/LZiD8lBcLq"
neljulger,Venezuela,"En #Zamora alcalde @rodulfohumberto
Cumpliendo  disposiciones del pdte @NicolasMaduro gob @RMarcoTorres se lleva a… https://t.co/n2gS92j3mc"
byUrii14,,Vídeos de ovnis? #ovnis #ovni #ufo #ufos #bluebeam #nasa #trompetasdelapocalipsis #LucesEnElCielo #sonidosenelcielo… https://t.co/3h8OtdIwnd
camilaandreabd,"Barranquilla, Colombia","Mi abuelita ya se volvió toda una experta haciéndole ropas a Carlota! 
Y ella los luce muy engreída 😳😳… https://t.co/rraMqF7mfT"
HaranValer,"Midtown, Houston",AHORA | Aquí puedes revisar informacion actualizada del crecimiento de casos confirmados de #COVID19 en #Ecuador y… https://t.co/eziacV1TVI
ElOroCJ,Machala - Ecuador,Servidores judiciales y partes procesales cumplen con el Protocolo de Emergencia #COVID19. En la Unidad Judicial Mu… https://t.co/zdLrhA9Dms
PrinsoHC,"Austin, TX",#CAMPAÑA de #MáximaProtecciónPosible para #PrevenirLaTransmisión del #Coronavirus y terminar con la #Pandemia… https://t.co/bGlLi6mCm4
FundAragua_Gob,"Maracay, Venezuela",#15Abr  Nuestro Gob @MarcoTorresPSUV  continua ejecutando los lineamientos de nuestro Pdt @NicolasMaduro  con la li… https://t.co/KiQHECmh8I
ValledelMayo,"Navojoa, Sonora","Abre bomberos Navojoa área de descontaminación

Para evitar que paramédicos lleven el Covid-19 a las instalaciones… https://t.co/XhDWA2XJ1f"
juniorr2015,"Barinas, Venezuela",Nacio un bebe con coronavirus en peru #SiMuerenLosMedicos #MiercolesDeGanarSeguidores #15Abril #COVID19 #FelizMiercolesATodos #
